Institute,City,School / Department,Program Title,Degree,Degree Level,Program Type,Duration,Fee (PKR),Eligibility Criteria,Admission Test,Program URL,Fee URL,Admission Deadline
University of Management and Technology,Lahore,School of Engineering,MS Civil Engineering,MS CE,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSCE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,MS Electrical Engineering,MS EE,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-EE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,MS Engineering Management,MS EM,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-EM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,MS Mechanical Engineering,MS ME,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-ME.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,MS Robotics and Intelligent Systems,MS RIS,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS RIS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,PhD Civil Engineering,PhD CE,PhD Programs,Evening,3 Years,890000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD CE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,PhD Electrical Engineering,PhD EE,PhD Programs,Evening,3 Years,890000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhDEE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,PhD Mechanical Engineering,PhD ME,PhD Programs,Evening,3 Years,890000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD ME.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,ADP Agricultural Sciences,ADP AS,Associate Degree Program,Morning,2 years,290000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP AS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,ADP Horticultural Sciences,ADP HS,Associate Degree Program,Morning,2 years,290000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP HS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,Associate Degree Program in Food Science and Technology,ADP FST,Associate Degree Program,Morning,2 years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-FST.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Agricultural Sciences,BS AS,Undergraduate Programs,Morning,4 years,690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS AS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Food Safety and Quality Management,BS FSQM,Undergraduate Programs,Morning,4 Years,690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-FSM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Food Science and Technology,BS FST,Undergraduate Programs,Morning,4 Years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS FST.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Food Science and Technology Post ADP/BSc,BS FST - Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,583863,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS FT - Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Horticultural Sciences,BS HS,Undergraduate Programs,Morning,4 years,550000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS HS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Human Nutrition and Dietetics,BS HND,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-HND.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,BS Public Health Nutrition,BS PHN,Undergraduate Programs,Morning,4 years,900000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS PHN.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,MS Advanced Food System,MS AFD,Graduate Programs,Evening,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS AFD.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,MS Dietetics Practice,MS DP,Graduate Programs,Evening,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS DP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,MS Food Quality Management,MS FQM,Graduate Programs,Evening,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-FQM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,MS Food Technology,MS FT,Graduate Programs,Evening,2 years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-FT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,MS Human Nutrition and Dietetics,MS HN&D,Graduate Programs,Evening,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSHND.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,PhD Food Technology,PhD FT,PhD Programs,Evening,3 Years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD-FT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Food and Agricultural Sciences,PhD Human Nutrition and Dietetics,PhD HND,PhD Programs,Evening,3 years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD HND.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,Associate Degree Program in Public Administration,ADP PA,Associate Degree Program,Morning,2 years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP - PA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,BS Digital Governance,BS DG,Undergraduate Programs,Morning,4 years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS DG.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,BS Public Administration,BS PA,Undergraduate Programs,Morning,4 Years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Public-administration.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,BS Public Administration - Post ADP/BSc/BA,BS PA-Post ADP/BA/BSc,Post Associate Degree Programs,Morning,2 years,497715,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSPA-PostADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,BS Public Administration and Civil Services Studies,BS PA&CSS,Undergraduate Programs,Morning,4 years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-PA-CSS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,BS Public Policy and Management,BS PPM,Undergraduate Programs,Morning,4 years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS PPM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,MS Public Policy,MS PP,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-PP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,MS Public Policy and Technology,MS PPT,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-PPT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Governance and Society,MS Public Policy For Regular Govt Employees,MS PP(GE),Graduate Programs,Weekend,2 Years,390000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-PP-GE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,ADP Medical Laboratory Sciences,ADP MLS,Associate Degree Program,Morning,2 years,390000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP MLS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,ADP Radiography And Imaging Technology,ADP RIT,Associate Degree Program,Morning,2 years,390000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP RIT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,ADP Ultrasound Technology,ADP UT,Associate Degree Program,Morning,2 years,390000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP UT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Aesthetic and Skin Care Technology,BS AST,Undergraduate Programs,Morning,4 years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS AST.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Anesthesia Technology,BS AT,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS AT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Dental Hygiene,BS DH,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS DH.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Dental Technology,BS DT,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS DT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Human Nutrition and Dietetics (AHPC Recognized),BS NS,Undergraduate Programs,Morning,4 years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS NS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Medical Imaging and Ultrasonography,BS MIU,Undergraduate Programs,Morning,4 years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-MIUSG.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Medical Laboratory Technology,BS MLS,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-MLS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Operation Theatre Technology,BS OTT,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS OTT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Optometry and Vision Sciences,BS OVS,Undergraduate Programs,Morning,4 years,1190000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS OVS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,BS Speech Language Pathology,BS SLP,Undergraduate Programs,Morning,4 years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS SLP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,Doctor of Physical Therapy,DPT,Undergraduate Programs,Morning,5 years,1890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/DPT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,MS Medical Laboratory Sciences (MS MLS),MS MLS,Graduate Programs,Weekend,2 years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS MLS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,MS Nutrition Science,MS NS,Graduate Programs,Weekend,2 years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS NS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,MS Physical Therapy,MS PT,Graduate Programs,Weekend,2 years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS PT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,PGD in Dietetics,PGD,One Year Degree Programs,Morning,1 Year,120000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PGD DT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Health Sciences,Sports Nutrition Certification,SNC,Professional Programs,Morning,6 weeks,40000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/SNC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Law and Policy,LLB,LLB,Undergraduate Programs,Morning,4 Years,2650000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/LL.B..aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Law and Policy,LLM Commercial Law,LLM,Graduate Programs,Evening,2 Years,890000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/LLMCL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,BS Computational Linguistics,BS CL,Undergraduate Programs,Morning,4 Years,1190000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS CL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,BS English,BS EL,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSEL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,BS English Post ADP,BS EL - Post ADP,Post Associate Degree Programs,Morning,2 years,536794,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS EL -Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,BS Liberal Arts,BS LA,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSLA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,MPhil English Linguistics (Weekend),MPhil AL,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhil(AL).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,MPhil English Literature(Evening/Weekend),MPhil EL,Graduate Programs,Evening/Weekend,2-YEAR,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhilEL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,PGD in Creative Writing,PGD,One Year Degree Programs,Hybrid,1 Year,345000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PGD CW.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Liberal Arts,PhD English Linguistics,PhD ELL,PhD Programs,Morning/Evening,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD-ELL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Media and Communication Studies,BS Immersive Media and Digital Communication,BS DTIM,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-DTIM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Media and Communication Studies,BS Media and Communication,BS MC,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-MC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Media and Communication Studies,BS Media and Communication - Post ADP/BA/BSC/B.Com,BS MC POST ADP/BA/BSC,Post Associate Degree Programs,Morning,2 Years,786327,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS MC-POSTADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Media and Communication Studies,BS Media Management and Technology,BS MMT,Undergraduate Programs,Morning,4 years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS MMT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Media and Communication Studies,MPhil Media and Communication,MPhil MC,Graduate Programs,Afternoon,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSMC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Pharmacy,Doctor of Pharmacy,D-Pharm,Undergraduate Programs,Morning,5 Years,2690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/Pharma-D.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Pharmacy,MPhill Pharmacology,MPhil Pharma,Graduate Programs,Evening,2 years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhil.Pharma.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Advancement,Bachelor of Professional Studies,BPS,Undergraduate Programs,Morning/Evening,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS(PS).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Advancement,Bachelor of Professional Studies (BPS) - Post ADP/BSc/BA,BPS-POST ADP/BSc/BA,Post Associate Degree Programs,Morning,2 years,616494,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BPS-POSTADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Advancement,BS Sports Management,BS SM,Undergraduate Programs,Morning,4 Years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS(SM).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Advancement,MS Project Management (Evening),MS PM,Graduate Programs,Evening,1.5 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-PM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Advancement,MS Project Management (Weekend),MS PM(W),Graduate Programs,Weekend,1.5 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-PM(W).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,BS Psychology,BS Psy,Undergraduate Programs,Morning,4 Years,1190000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS Psy.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,BS Psychology - Post ADP/BA/BSc,BS Psy-Post ADP/BA/BSc,Post Associate Degree Programs,Morning,2 years,653440,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Psy-Post-ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,MPhil Psychology,Mphil Psy,Graduate Programs,Afternoon,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhilPsychology.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,MS Clinical Psychology,MS C.Psy,Graduate Programs,Morning,2 Years,1090000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS CPsy.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,MS Counselling Psychology,MS CPsy,Graduate Programs,Morning,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-CP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,MS Industrial and Organizational Psychology,MS IOP,Graduate Programs,Morning/Afternoon,2 years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS IOP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,PhD Clinical Psychology,PhD CPsy,PhD Programs,Afternoon,3 Years,1090000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD-CP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Professional Psychology,PhD Psychology,PhD Psy,PhD Programs,Morning/Afternoon,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD Psy.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Biochemistry,BS BC,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-BC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
